OWNER,TABLE_NAME,COLUMN_NAME,COLUMN_DESC,DATA_TYPE,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE,EXTERNAL_FLAG,PK_FLAG,REPORT_DESC,DEFAULT_VALUE,REC_DATE,REC_FUL_NAM,REC_STATUS
ACCELA,B1PERMIT,APP_STATUS_GROUP_CODE,Application status group code,VARCHAR2,30,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_ACCESS_BY_ACA,If allow this Cap recod to show in ACA Cap List,VARCHAR2,1,NULL,NULL,Y,,,,,2008-06-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_ALT_ID,Application Alternate ID.,VARCHAR2,30,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_APP_TYPE_ALIAS,Application type alias,VARCHAR2,255,NULL,NULL,Y,,,,,2007-09-11 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_APPL_CLASS,"Application class (Partially Completed, Regular)",VARCHAR2,15,NULL,NULL,Y,,,,,2007-03-28 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_APPL_STATUS,Indicates whether the application is void or not. The value is either "Void" or null.,VARCHAR2,30,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_APPL_STATUS_DATE,Application status date,DATE,7,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_CERTIFICATION_APPLIED,Is the certification agreed?,VARCHAR2,1,NULL,NULL,Y,,,,,2014-03-06 00:00:00.000,AA7.3.1,A
ACCELA,B1PERMIT,B1_CERTIFICATION_DATE,The certification agreed time.,DATE,7,NULL,NULL,Y,,,,,2014-03-06 00:00:00.000,AA7.3.1,A
ACCELA,B1PERMIT,B1_CREATED_BY,record create user ID,VARCHAR2,100,NULL,NULL,Y,,,,,2007-09-11 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_CREATED_BY_ACA,the created by aca flag,VARCHAR2,1,NULL,NULL,Y,,,,,2006-07-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_DELEGATE_USER_ID,"Storing delegate user ID, when the delegate user create record for initial user.",VARCHAR2,100,NULL,NULL,Y,,,,,2011-03-16 00:00:00.000,AA7.1.0,A
ACCELA,B1PERMIT,B1_EVENT_CODE,Not used,VARCHAR2,24,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_FILE_DD,Application File Date is the filing date of the application,DATE,7,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_INITIATED_BY_PRODUCT,Store the product name which created this CAP.,VARCHAR2,20,NULL,NULL,Y,,,,,2009-11-06 00:00:00.000,AA7.0,A
ACCELA,B1PERMIT,B1_IS_MANUAL_ALT_ID,Y - b1_alt_id is input by end userN -b1_alt_id is created with the mask definitionnull - mean b1_alt_id is created with mask definition by default,VARCHAR2,1,NULL,NULL,Y,,,,,2010-06-08 00:00:00.000,AA7.0.5,A
ACCELA,B1PERMIT,B1_MODULE_NAME,Module name,VARCHAR2,100,NULL,NULL,Y,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_PAYMENT_STATUS,Add the 'PAID" payment status that indicate the record have been paid in gateway.,VARCHAR2,15,NULL,NULL,Y,,,,,2013-06-24 00:00:00.000,AA7.2.0,A
ACCELA,B1PERMIT,B1_PENDING_VALIDATION,Pending Validation,VARCHAR2,1,NULL,NULL,Y,,,,,2014-05-06 14:15:00.000,AA7.3.2,A
ACCELA,B1PERMIT,B1_PER_CATEGORY,"Permit Category. This is the fourth level of a defined permit. For example,  ""Building/Building Permit/ Commercial/ NA"".",VARCHAR2,30,NULL,NULL,N,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_PER_GROUP,"Permit Group. This is the first level of a defined permit. For example, ""Building/Building Permit/ Commercial/ NA"".",VARCHAR2,30,NULL,NULL,N,,,,,2005-04-05 00:00:00.000,CHAN,A
ACCELA,B1PERMIT,B1_PER_ID1,"First 5 characters of the Universal Tracking Number. The first two digits will be the Year and the other three characters are for permit type code. For example, ""01BLD"" or ""01FIR"" or ""01200"".",VARCHAR2,5,NULL,NULL,N,,B1PERMIT_PK,,,2005-04-05 00:00:00.000,CHAN,A
